4,6,5,1
4,7,4,1
4,8,4,1
4,9,3,1
4,9,4,1
4,10,3,1
4,10,4,1
4,11,2,1
4,11,3,1
4,12,2,1
4,12,3,1
4,13,3,1
4,14,3,1
4,15,3,1
4,15,4,1
4,16,4,1
4,16,5,1
4,17,4,1
4,17,5,1
4,18,5,1
4,18,6,1
4,19,6,1
4,20,6,1
4,20,7,1
5,0,6,1
5,1,6,1
5,2,5,1
5,2,6,1
5,3,5,1
5,4,5,1
5,5,5,1
5,6,5,1
5,7,4,1
5,7,5,1
5,8,4,1
5,8,5,1
5,9,4,1
5,9,5,1
5,10,3,1
5,10,4,1
5,11,3,1
5,11,4,1
5,12,3,1
5,12,4,1
5,13,3,1
5,13,4,1
5,14,3,1
5,14,4,1
5,15,4,1
5,15,5,1
5,16,4,1
5,16,5,1
5,17,5,1
5,17,6,1
5,18,6,1
5,19,6,1
5,19,7,1
5,20,7,1
6,0,6,1
6,0,7,1
6,1,6,1
6,2,6,1
6,3,6,1
6,4,5,1
6,4,6,1
6,5,5,1
6,5,6,1
6,6,5,1
6,6,6,1
6,7,5,1
6,7,6,1
6,8,5,1
6,8,6,1
6,9,5,1
6,10,4,1
6,10,5,1
6,11,4,1
6,11,5,1
6,12,4,1
6,13,4,1
6,14,4,1
6,15,4,1
6,15,5,1
6,16,5,1
6,17,6,1
6,18,6,1
6,19,7,1
6,20,7,1
7,0,7,1
7,1,6,1
7,1,7,1
7,2,6,1
7,3,6,1
7,4,6,1
7,5,6,1
7,6,6,1
7,7,6,1
7,8,6,1
7,9,5,1
7,9,6,1
7,10,5,1
7,11,4,1
7,11,5,1
7,12,4,1
7,12,5,1
7,13,4,1
7,14,4,1
7,15,5,1
7,16,5,1
7,17,6,1
7,18,6,1
7,19,7,1
7,20,7,1
8,0,6,1
8,0,7,1
8,1,6,1
8,2,6,1
8,3,6,1
8,4,6,1
8,5,6,1
8,6,6,1
8,7,6,1
8,8,6,1
8,9,6,1
8,10,5,1
8,10,6,1
8,11,5,1
8,12,5,1
8,13,4,1
8,13,5,1
8,14,4,1
8,14,5,1
8,15,5,1
8,16,5,1
8,16,6,1
8,17,6,1
8,18,6,1
8,19,7,1
8,20,7,1
9,0,6,1
9,1,6,1
9,2,6,1
9,3,6,1
9,4,6,1
9,5,6,1
9,6,6,1
9,7,6,1
9,8,6,1
9,9,6,1
9,10,6,1
9,11,5,1
9,11,6,1
9,12,5,1
9,13,5,1
9,14,5,1
9,15,5,1
9,16,5,1
9,17,6,1
9,18,6,1
9,19,6,1
9,19,7,1
9,20,7,1
10,0,6,1
10,1,6,1
10,2,6,1
10,3,6,1
10,4,6,1
10,5,6,1
10,6,6,1
10,7,6,1
10,8,6,1
10,9,6,1
10,10,6,1
10,11,5,1
10,11,6,1
10,12,5,1
10,13,4,1
10,13,5,1
10,14,4,1
10,14,5,1
10,15,4,1
10,15,5,1
10,16,5,1
10,17,5,1
10,18,5,1
10,18,6,1
10,19,6,1
10,20,6,1
10,20,7,1
11,0,6,1
11,7,6,1
11,8,6,1
11,9,6,1
11,10,5,1
11,10,6,1
11,11,5,1
11,12,5,1
11,13,4,1
11,14,4,1
11,15,4,1
11,16,4,1
11,17,4,1
11,17,5,1
11,18,5,1
11,19,5,1
11,20,6,1
12,0,5,1
12,1,5,1
12,5,5,1
12,6,5,1
12,7,5,1
12,8,6,1
12,9,6,1
12,10,5,1
12,10,6,1
12,11,5,1
12,12,4,1
12,12,5,1
12,13,4,1
12,14,4,1
12,15,4,1
12,16,4,1
12,17,4,1
12,18,4,1
12,18,5,1
12,19,5,1
12,20,6,1
13,0,5,1
13,1,4,1
13,2,4,1
13,5,4,1
13,6,5,1
13,7,5,1
13,8,5,1
13,9,6,1
13,10,5,1
13,11,5,1
13,12,4,1
13,12,5,1
13,13,4,1
13,14,3,1
13,14,4,1
13,15,3,1
13,15,4,1
13,16,4,1
13,17,4,1
13,18,4,1
13,18,5,1
13,19,5,1
13,20,5,1
13,20,6,1
14,0,4,1
14,0,5,1
14,1,4,1
14,2,4,1
14,3,4,1
14,4,4,1
14,5,4,1
14,6,4,1
14,6,5,1
14,7,5,1
14,8,5,1
14,9,5,1
14,9,6,1
14,10,5,1
14,11,5,1
14,12,4,1
14,13,4,1
14,14,3,1
14,14,4,1
14,15,3,1
14,16,3,1
14,16,4,1
14,17,4,1
14,18,4,1
14,19,5,1
14,20,5,1
14,20,6,1
15,0,4,1
15,0,5,1
15,1,4,1
15,2,3,1
15,2,4,1
15,3,3,1
15,4,3,1
15,4,4,1
15,5,4,1
15,6,4,1
15,7,4,1
15,7,5,1
15,8,5,1
15,9,5,1
15,10,5,1
15,11,5,1
15,12,4,1
15,13,4,1
15,14,3,1
15,14,4,1
15,15,3,1
15,16,3,1
15,17,4,1
15,18,4,1
15,19,4,1
15,19,5,1
15,20,5,1
15,20,6,1
16,0,4,1
16,1,4,1
16,2,3,1
16,2,4,1
16,3,3,1
16,4,3,1
16,5,4,1
16,6,4,1
16,7,4,1
16,8,5,1
16,9,5,1
16,10,5,1
16,11,4,1
16,11,5,1
16,12,4,1
16,13,4,1
16,14,3,1
16,14,4,1
16,15,3,1
16,16,3,1
16,17,3,1
16,17,4,1
16,18,4,1
16,19,4,1
16,19,5,1
16,20,5,1
17,0,4,1
17,1,4,1
17,2,3,1
17,3,3,1
17,4,3,1
17,5,3,1
17,6,4,1
17,7,4,1
17,8,4,1
17,8,5,1
17,9,5,1
17,10,5,1
17,11,4,1
17,12,4,1
17,13,4,1
17,14,3,1
17,14,4,1
17,15,3,1
17,16,3,1
17,17,3,1
17,17,4,1
17,18,4,1
17,19,4,1
17,19,5,1
17,20,5,1
18,0,4,1
18,1,3,1
18,2,3,1
18,3,3,1
18,4,3,1
18,5,3,1
18,6,3,1
18,6,4,1
18,7,4,1
18,8,4,1
18,9,4,1
18,9,5,1
18,10,4,1
18,10,5,1
18,11,4,1
18,12,4,1
18,13,3,1
18,13,4,1
18,14,3,1
18,15,3,1
18,16,3,1
18,17,3,1
18,17,4,1
18,18,4,1
18,19,4,1
18,19,5,1
18,20,5,1
18,20,6,1
19,0,3,1
19,0,4,1
19,1,3,1
19,2,3,1
19,3,2,1
19,3,3,1
19,4,3,1
19,5,3,1
19,6,3,1
19,12,4,1
19,14,3,1
19,15,3,1
19,16,3,1
19,17,3,1
19,17,4,1
19,18,4,1
19,19,4,1
19,19,5,1
19,20,5,1
20,2,2,1
20,2,3,1
20,3,2,1
20,5,2,1
20,13,3,1
20,14,3,1
20,15,3,1
20,16,3,1
20,17,3,1
20,18,4,1
20,19,4,1
20,19,5,1
20,20,5,1
