5,19,2,1
5,19,3,1
5,20,3,1
6,0,3,1
6,1,3,1
6,2,3,1
6,3,2,1
6,4,2,1
6,5,1,1
6,5,2,1
6,6,1,1
6,7,1,1
6,8,1,1
6,9,1,1
6,10,1,1
6,11,1,1
6,12,1,1
6,13,1,1
6,14,1,1
6,14,2,1
6,15,1,1
6,15,2,1
6,16,2,1
6,17,2,1
6,17,3,1
6,18,2,1
6,18,3,1
6,19,3,1
6,20,3,1
7,0,2,1
7,0,3,1
7,1,2,1
7,2,2,1
7,3,2,1
7,4,1,1
7,4,2,1
7,5,1,1
7,6,1,1
7,7,1,1
7,8,1,1
7,9,1,1
7,10,1,1
7,11,1,1
7,12,1,1
7,13,1,1
7,13,2,1
7,14,1,1
7,14,2,1
7,15,2,1
7,16,2,1
7,16,3,1
7,17,2,1
7,17,3,1
7,18,3,1
7,19,3,1
7,19,4,1
7,20,3,1
7,20,4,1
8,0,2,1
8,1,2,1
8,2,1,1
8,2,2,1
8,3,1,1
8,4,1,1
8,5,1,1
8,6,0,1
8,6,1,1
8,7,0,1
8,7,1,1
8,8,0,1
8,8,1,1
8,9,1,1
8,10,1,1
8,11,1,1
8,12,1,1
8,12,2,1
8,13,2,1
8,14,2,1
8,15,2,1
8,15,3,1
8,16,3,1
8,17,3,1
8,18,3,1
8,18,4,1
8,19,3,1
8,19,4,1
8,20,4,1
9,0,1,1
9,0,2,1
9,1,1,1
9,2,1,1
9,3,0,1
9,3,1,1
9,4,0,1
9,4,1,1
9,5,0,1
9,5,1,1
9,6,0,1
9,7,0,1
9,8,0,1
9,8,1,1
9,9,1,1
9,10,1,1
9,11,1,1
9,12,1,1
9,12,2,1
9,13,2,1
9,14,2,1
9,14,3,1
9,15,2,1
9,15,3,1
9,16,3,1
9,17,3,1
9,17,4,1
9,18,4,1
9,19,4,1
9,20,4,1
10,0,1,1
10,1,0,1
10,1,1,1
10,2,0,1
10,3,0,1
10,4,0,1
10,5,0,1
10,6,0,1
10,7,0,1
10,8,0,1
10,9,1,1
10,10,1,1
10,11,1,1
10,12,2,1
10,13,2,1
10,14,2,1
10,14,3,1
10,15,3,1
10,16,3,1
10,16,4,1
10,17,3,1
10,17,4,1
10,18,4,1
10,19,4,1
10,19,5,1
10,20,4,1
10,20,5,1
11,0,0,1
11,1,0,1
11,2,0,1
11,3,0,1
11,4,0,1
11,5,0,1
11,6,0,1
11,7,0,1
11,8,0,1
11,9,0,1
11,9,1,1
11,10,1,1
11,11,1,1
11,11,2,1
11,12,2,1
11,13,2,1
11,13,3,1
11,14,3,1
11,15,3,1
11,16,3,1
11,16,4,1
11,17,4,1
11,18,4,1
11,18,5,1
11,19,4,1
11,19,5,1
11,20,5,1
12,0,0,1
12,1,0,1
12,2,0,1
12,3,0,1
12,4,0,1
12,5,0,1
12,6,0,1
12,7,0,1
12,8,0,1
12,8,1,1
12,9,1,1
12,10,1,1
12,11,1,1
12,11,2,1
12,12,2,1
12,13,2,1
12,13,3,1
12,14,3,1
12,15,3,1
12,15,4,1
12,16,4,1
12,17,4,1
12,18,4,1
12,18,5,1
12,19,5,1
12,20,5,1
12,20,6,1
13,0,0,1
13,1,0,1
13,2,0,1
13,3,0,1
13,4,0,1
13,5,0,1
13,6,0,1
13,7,0,1
13,8,0,1
13,8,1,1
13,9,1,1
13,10,1,1
13,11,1,1
13,11,2,1
13,12,2,1
13,13,3,1
13,14,3,1
13,15,3,1
13,15,4,1
13,16,4,1
13,17,4,1
13,17,5,1
13,18,5,1
13,19,5,1
13,20,5,1
13,20,6,1
14,0,0,1
14,1,0,1
14,2,0,1
14,3,0,1
14,4,0,1
14,5,0,1
14,6,0,1
14,7,0,1
14,8,0,1
14,8,1,1
14,9,1,1
14,10,1,1
14,10,2,1
14,11,2,1
14,12,2,1
14,12,3,1
14,13,3,1
14,14,3,1
14,15,4,1
14,16,4,1
14,17,4,1
14,17,5,1
14,18,5,1
14,19,5,1
14,19,6,1
14,20,6,1
15,0,0,1
15,1,0,1
15,2,0,1
15,3,0,1
15,4,0,1
15,5,0,1
15,6,0,1
15,7,0,1
15,7,1,1
15,8,1,1
15,9,1,1
15,10,1,1
15,10,2,1
15,11,2,1
15,12,2,1
15,12,3,1
15,13,3,1
15,14,3,1
15,14,4,1
15,15,4,1
15,16,4,1
15,16,5,1
15,17,5,1
15,18,5,1
15,19,6,1
15,20,6,1
16,0,0,1
16,1,0,1
16,2,0,1
16,3,0,1
16,4,0,1
16,5,0,1
16,5,1,1
16,6,0,1
16,6,1,1
16,7,1,1
16,8,1,1
16,9,1,1
16,10,2,1
16,11,2,1
16,12,2,1
16,12,3,1
16,13,3,1
16,14,3,1
16,14,4,1
16,15,4,1
16,16,4,1
16,16,5,1
16,17,5,1
16,18,5,1
16,19,6,1
16,20,6,1
16,20,7,1
17,0,0,1
17,1,0,1
17,2,0,1
17,2,1,1
17,3,0,1
17,3,1,1
17,4,0,1
17,4,1,1
17,5,0,1
17,5,1,1
17,6,1,1
17,7,1,1
17,8,1,1
17,9,1,1
17,9,2,1
17,10,2,1
17,11,2,1
17,12,3,1
17,13,3,1
17,14,3,1
17,14,4,1
17,15,4,1
17,16,4,1
17,16,5,1
17,17,5,1
17,18,5,1
17,18,6,1
17,19,6,1
17,20,6,1
17,20,7,1
18,0,1,1
18,1,1,1
18,2,1,1
18,3,1,1
18,4,1,1
18,5,1,1
18,6,1,1
18,7,1,1
18,7,2,1
18,8,1,1
18,8,2,1
18,9,2,1
18,10,2,1
18,11,2,1
18,11,3,1
18,12,3,1
18,13,3,1
18,13,4,1
18,14,3,1
18,14,4,1
18,15,4,1
18,16,4,1
18,16,5,1
18,17,5,1
18,18,5,1
18,18,6,1
18,19,6,1
18,20,6,1
18,20,7,1
19,0,1,1
19,1,1,1
19,1,2,1
19,2,1,1
19,2,2,1
19,3,1,1
19,3,2,1
19,4,1,1
19,4,2,1
19,5,1,1
19,5,2,1
19,6,1,1
19,6,2,1
19,7,2,1
19,8,2,1
19,9,2,1
19,10,2,1
19,10,3,1
19,11,2,1
19,11,3,1
19,12,3,1
19,13,3,1
19,13,4,1
19,14,4,1
19,15,4,1
19,16,5,1
19,17,5,1
19,18,6,1
19,19,6,1
19,20,6,1
19,20,7,1
20,0,2,1
20,1,2,1
20,2,2,1
20,3,2,1
20,4,2,1
20,5,2,1
20,6,2,1
20,7,2,1
20,8,2,1
20,8,3,1
20,9,2,1
20,9,3,1
20,10,3,1
20,11,3,1
20,12,3,1
20,13,3,1
20,13,4,1
20,14,4,1
20,15,4,1
20,16,5,1
20,17,5,1
20,18,6,1
20,19,6,1
20,20,6,1
20,20,7,1
